atmospheric_pressure,visible_cloud,wind_direction,wind_speed,sky_color,ocean_wave_speed,temperature,animal_activity,storm_coming
1006.8,Stratus,East,82,Green,Low,Decline,Low,No
1011.5,Cumulonimbus,East,54.5,Orange,High,Decline,Low,Yes
1012.5,Cumulonimbus,East,59.8,Orange,Low,Decline,Low,Yes
1005.6,Cirrus,East,80.1,,Low,Decline,High,No
1006.4,Cirrus,South,43.9,Green,Medium,Rise,Low,No
1011.9,Cumulonimbus,South,56.2,Gray,Low,Rise,High,Yes
1011.6,Cumulonimbus,West,57.9,Orange,Low,Rise,Low,Yes
1012.1,Cumulonimbus,South,70.8,Orange,Low,Stable,High,Yes
1002.1,Cumulonimbus,South,47,Green,High,Stable,Low,No
1005.1,Cirrus,East,45.4,Green,Low,Decline,High,No
1005,Cirrus,East,81.6,,Medium,Rise,High,No
1011.9,Cumulonimbus,South,59.1,Blue,High,,High,Yes
1005.8,Cumulonimbus,East,60.5,Orange,Low,Decline,Low,Yes
1006,Cirrus,East,85,Green,High,Decline,Low,No
1013.4,Cumulonimbus,East,50.3,Orange,High,Decline,Low,Yes
1013.9,Cumulonimbus,South,50.4,Orange,High,Rise,High,Yes
1013,Cirrus,South,59.2,Orange,High,Decline,High,Yes
1005.9,Stratus,East,47.8,Gray,High,Stable,High,No
1012.1,Cumulonimbus,East,54.1,Blue,Low,Decline,Low,Yes
1011,Cumulonimbus,West,66.9,Orange,High,Decline,High,Yes
1022.5,Cirrus,South,75.9,Gray,High,Rise,High,No
1011,Cumulonimbus,East,64.7,Gray,Low,Decline,High,Yes
1003.9,Cumulonimbus,South,82.2,Green,Low,Stable,High,No
1002.4,Cirrus,West,77.2,Green,Low,Stable,Medium,No
1013.1,Cumulonimbus,South,73.3,Gray,High,Stable,Low,Yes
1014,Cumulonimbus,East,50.1,Orange,Medium,,High,Yes
1003.6,Cirrus,South,55.7,Orange,High,Stable,High,Yes
1011.6,Cirrus,South,57.8,Gray,Low,Stable,High,Yes
1005.8,Cirrus,East,40.6,Gray,Low,Decline,Low,No
1005.9,Cirrus,East,80.5,Green,Low,Decline,Low,No
1011.2,Cirrus,,58.6,Orange,High,Decline,Low,Yes
1012.8,Cumulonimbus,South,71.6,Orange,High,Rise,Low,Yes
1006.5,Cirrus,South,46.7,Green,High,Stable,High,No
1006.5,Cirrus,South,80.1,Gray,High,Stable,High,No
1004.1,Stratus,South,73.5,Orange,High,Decline,Low,Yes
1005.8,Cirrus,West,84.4,Green,High,Stable,Low,No
1020.6,Cirrus,South,79.7,Green,High,Stable,High,No
1005.5,Cirrus,East,84.7,Blue,High,Rise,Low,No
1013.2,Cumulonimbus,South,59.6,Orange,Low,Stable,High,Yes
1005.9,Cirrus,,75.5,Green,High,Stable,High,No
1003.6,Cirrus,West,46.4,Orange,Low,Decline,Low,Yes
1013.2,Cumulonimbus,East,54,,Medium,Stable,Medium,Yes
1011.7,Cumulonimbus,North,47.1,Orange,Low,Stable,Low,Yes
1011.8,Cumulonimbus,East,65.3,Orange,Low,Decline,Low,Yes
1023.1,Cumulonimbus,East,81.7,Green,Low,Stable,Low,No
1006.2,Cirrus,West,80,Gray,Low,Decline,High,No
1002.3,Cirrus,East,43.5,Green,Low,Decline,Low,No
1021.9,Stratus,East,76.8,Gray,High,Decline,Low,No
1019.7,Cirrus,North,80.1,Green,Medium,Decline,Medium,No
1024.8,Cumulonimbus,South,78.2,Green,Low,Stable,High,No
1004.2,Cirrus,South,79.7,Blue,High,Stable,High,No
1012.5,Stratus,North,47.4,Orange,Low,Decline,Low,Yes
1012.2,Cumulonimbus,East,62.8,Orange,Low,Decline,Low,Yes
1006.6,Cumulonimbus,South,69.7,Blue,High,,Medium,Yes
1003,Cirrus,East,61.9,Orange,High,Decline,High,Yes
1005.5,Cirrus,East,79.2,Green,High,Rise,Low,No
1003.1,Cirrus,North,85,Green,Low,Decline,Low,No
1012.2,Cumulonimbus,South,69.8,Orange,High,Stable,Medium,Yes
1022.5,Cumulonimbus,West,84.4,Blue,Low,Decline,Medium,No
1012.5,Cumulonimbus,East,71.4,Orange,Low,Decline,Medium,Yes
1005.2,Cirrus,East,82.3,Blue,Low,Stable,High,No
1006.7,Stratus,East,81.3,Gray,Low,Rise,Medium,No
1002.9,Cumulonimbus,South,75.4,Green,Low,Rise,Medium,No
1012.2,Cumulonimbus,South,62.9,Orange,High,Stable,High,Yes
1006.6,Cirrus,East,79.2,Gray,Low,Decline,Medium,No
1013.9,Cirrus,West,57.3,Orange,Medium,Stable,High,Yes
1013.6,Cumulonimbus,South,73.1,Blue,High,Rise,High,Yes
1004.6,Stratus,East,78.2,Green,Low,Decline,High,No
1005.4,Cirrus,North,75.6,Blue,Low,Decline,Low,No
1004.3,Cumulonimbus,South,57.8,Orange,High,Stable,High,Yes
1003,Cirrus,East,47.6,Green,Medium,Decline,Medium,No
1011,Cumulonimbus,East,73.2,Blue,Low,Decline,Low,Yes
1012.5,Cumulonimbus,South,62,Orange,Medium,Stable,High,Yes
1003.9,Cirrus,East,75.4,Gray,Low,Decline,High,No
1011.7,Cumulonimbus,East,67.6,Blue,Low,Rise,Medium,Yes
1013,Cumulonimbus,South,43.2,Orange,High,Stable,High,Yes
1019.8,Cirrus,West,75.6,Green,High,Stable,High,No
1005.8,Cumulonimbus,West,46.3,Orange,High,Stable,High,Yes
1003.7,Cumulonimbus,West,75.2,Gray,Low,Stable,High,No
1005.6,Cirrus,North,56.8,Orange,Low,Stable,Low,Yes
1012.4,Cumulonimbus,East,72.3,Orange,Low,Stable,Medium,Yes
1005.2,Cirrus,East,80,Gray,Medium,Stable,High,No
1024.6,Cumulonimbus,East,77.1,Green,Low,Decline,Low,No
1013.1,Cumulonimbus,East,65,,Low,Stable,Medium,Yes
1012,Cumulonimbus,South,51,Orange,High,Rise,High,Yes
1019.7,Cirrus,South,76.3,Blue,High,Rise,High,No
1012.7,Cumulonimbus,South,63.3,Orange,Medium,Stable,High,Yes
1011.3,Cirrus,East,40.3,Orange,Low,Decline,Low,Yes
1011.8,Cumulonimbus,South,56.4,Orange,High,Stable,Low,Yes
1002.7,Cirrus,South,76.6,Green,Low,Stable,Low,No
1012.7,Cumulonimbus,South,69.6,Orange,Low,Stable,Low,Yes
1021.5,Cirrus,,78.5,Green,Low,Stable,Low,No
1011.5,Stratus,West,72.2,Orange,High,Stable,Low,Yes
1002.2,Stratus,South,44.2,Orange,Medium,Rise,Low,Yes
1013.1,Cumulonimbus,East,67.3,Orange,Low,Decline,High,Yes
1004.5,Cumulonimbus,East,58.8,Orange,Medium,Stable,High,Yes
1011.3,Cumulonimbus,West,50.5,Gray,High,Rise,Medium,Yes
1012.7,Stratus,West,63,Orange,Medium,Rise,High,Yes
1011.8,Cumulonimbus,South,63.8,Orange,High,,High,Yes
1002.8,Cirrus,South,76.4,Green,High,Rise,High,No
1002.1,Cirrus,North,48.5,Green,Low,,Low,No
1013.4,Cumulonimbus,West,63,Orange,High,Stable,High,Yes
1011.5,Cumulonimbus,East,41.4,,Low,Decline,Low,Yes
1004.8,Stratus,East,75.9,Gray,Low,Decline,Medium,No
1011.2,Cumulonimbus,South,66.4,Orange,High,Rise,High,Yes
1020.5,Stratus,South,75.7,Blue,High,Stable,Low,No
1018.8,Cirrus,South,81.4,Green,Low,Stable,High,No
1006.5,Cirrus,East,79.8,Green,Low,Decline,High,No
1012.4,Cirrus,East,56.9,Blue,Low,Decline,Medium,Yes
1012.1,Cirrus,East,56.5,Orange,Low,Decline,Low,Yes
1005.5,Cumulonimbus,West,47.1,Green,High,Stable,High,No
1013,Cumulonimbus,South,62.7,Orange,High,Stable,High,Yes
1003.7,Cirrus,East,81.9,Green,Low,Rise,Low,No
1011.8,Cumulonimbus,East,65.9,Orange,Low,Decline,Low,Yes
1006,Cumulonimbus,East,75.4,Green,High,Decline,Low,No
1003.7,Cumulonimbus,South,59.1,Orange,High,Stable,High,Yes
1005.8,Cirrus,East,84.6,,Medium,Stable,High,No
1004.7,Stratus,South,64.2,Blue,Low,Stable,Medium,Yes
1002.4,Stratus,West,79.2,Gray,Medium,Stable,Low,No
1006.4,Cirrus,South,43.4,Green,High,Rise,High,No
1002.8,Stratus,East,81.8,Blue,Low,Decline,Low,No
1002.7,Cirrus,North,83.9,Blue,Medium,Decline,Low,No
1002.9,Stratus,East,81.5,Green,Low,Decline,Medium,No
1005.3,Cumulonimbus,West,50.4,Orange,High,Stable,High,Yes
1003.3,Cumulonimbus,East,83.7,Blue,Low,Decline,High,No
1003.4,Cumulonimbus,South,80.4,Green,High,Stable,Low,No
1012.6,Cumulonimbus,East,53.9,Orange,Low,Decline,Low,Yes
1002.4,Cumulonimbus,East,84.4,Green,Medium,Rise,High,No
1012.5,Cumulonimbus,South,44.3,Orange,High,Stable,High,Yes
1013.4,Cumulonimbus,East,65.7,Orange,Low,Decline,Low,Yes
1005.6,Cirrus,South,83,Green,Medium,Rise,High,No
1005.4,Cirrus,South,84.6,Green,Medium,Stable,Low,No
1005.5,Cirrus,East,75.3,Green,Low,Stable,Low,No
1011,Stratus,East,67.4,Gray,Low,Decline,Low,Yes
1012.4,Cumulonimbus,South,50.8,Orange,Medium,Stable,High,Yes
1011,Cumulonimbus,South,66,Orange,High,Rise,High,Yes
1024.6,Cirrus,East,79,Green,High,Stable,High,No
1003.5,Cumulonimbus,,71,Orange,High,Stable,Low,Yes
1004.2,Cirrus,East,83.7,Green,Low,Decline,Low,No
1004.1,Cirrus,East,40.8,Green,High,Decline,High,No
1004.8,Cirrus,South,75.6,Green,Medium,Rise,High,No
1012.7,Cumulonimbus,East,50.5,Orange,Low,Decline,Medium,Yes
1011.3,Cirrus,East,67.8,Orange,Low,Decline,High,Yes
1011.4,Cumulonimbus,South,42.1,Orange,High,Rise,Low,Yes
1011.2,Cumulonimbus,East,66.3,Orange,Low,Decline,Low,Yes
1004.6,Stratus,East,43.9,Green,Low,Stable,High,No
1003.5,Cirrus,West,45.8,Green,Medium,Decline,Medium,No
1006,Cirrus,East,75.3,Green,Low,Rise,High,No
1006.2,Cirrus,East,60.1,Orange,High,Decline,High,Yes
1004.7,Cirrus,South,72.9,Orange,High,Rise,Low,Yes
1011.7,Cumulonimbus,South,40.9,Orange,High,Stable,High,Yes
1003.7,Cirrus,East,79.9,,Medium,Decline,High,No
1004.5,Cumulonimbus,East,51.7,Gray,Medium,Decline,Low,Yes
1002.6,Cirrus,East,75.5,Green,High,Decline,Medium,No
1003.1,Cirrus,East,43.9,Green,Low,Decline,Medium,No
1013.4,Cumulonimbus,East,66,Orange,Low,,Low,Yes
1005.5,Cirrus,East,43,Blue,Low,Decline,Low,No
1013.1,Cumulonimbus,East,66.9,Orange,High,Decline,Low,Yes
1011.2,Cumulonimbus,East,68,Orange,High,Rise,High,Yes
1019.2,Cirrus,East,43.4,Green,Low,Decline,Low,No
1005.4,Stratus,East,50.4,Orange,Low,Decline,Medium,Yes
1013.9,Cumulonimbus,West,72,Orange,Low,Decline,Low,Yes
1006.1,Cirrus,West,84.1,Green,Low,Decline,Medium,No
1013.3,Cumulonimbus,,57.2,Orange,High,Rise,Low,Yes
1013.4,Cumulonimbus,West,64.1,Blue,High,Stable,Low,Yes
1002.2,Cirrus,East,46,Gray,Low,Rise,Low,No
1014,Stratus,South,53.2,Orange,High,Stable,Low,Yes
1013,Cumulonimbus,West,73.3,Gray,Low,Decline,High,Yes
1013.1,Cumulonimbus,South,54.8,Orange,High,Rise,High,Yes
1005.9,Cirrus,North,78.7,Green,High,Decline,Low,No
1003.2,Cumulonimbus,South,83.4,Green,High,Stable,High,No
1012.3,Stratus,North,51,Gray,Medium,Decline,High,Yes
1004.5,Cirrus,East,79.8,,High,Decline,Medium,No
1005.2,Cirrus,South,49,Green,Medium,Stable,High,No
1004,Cirrus,South,81.8,,High,Stable,High,No
1012.1,Cumulonimbus,East,53.3,Orange,Low,Decline,Low,Yes
1005.7,Stratus,,80.3,Green,Medium,Stable,High,No
1004.4,Cirrus,East,78.1,Green,Low,Decline,Low,No
1019.2,Cirrus,,43.8,Green,Low,Decline,Low,No
1004.6,Cirrus,East,76.5,Green,Low,Decline,Low,No
1018.3,Cirrus,East,78,,Low,Decline,Low,No
1013.5,Stratus,East,56.6,Gray,High,Decline,Low,Yes
1006.6,Cirrus,South,69.6,Gray,High,,High,Yes
1011.1,Cumulonimbus,West,69,Orange,Low,Decline,Low,Yes
1012.8,Cumulonimbus,,59.6,Orange,High,Stable,High,Yes
1012.7,Stratus,South,55,Gray,High,Rise,Low,Yes
1003.7,Cumulonimbus,East,78.4,Green,Low,Stable,Medium,No
1021.7,Cumulonimbus,East,84.5,Green,High,Stable,High,No
1013.9,Stratus,East,40,Orange,Medium,Decline,Low,Yes
1013.4,Cumulonimbus,South,42,Orange,High,,Medium,Yes
1011.8,Cumulonimbus,East,42.3,Orange,Medium,Rise,High,Yes
1012.1,Cumulonimbus,East,51.7,Orange,Medium,Decline,Low,Yes
1004.4,Stratus,East,79.7,Green,Low,Decline,Low,No
1013.3,Cumulonimbus,East,51.3,Orange,Medium,Decline,Low,Yes
1004.3,Cirrus,West,78.7,Gray,High,Rise,Low,No
1005.2,Cirrus,East,70.3,Orange,High,Stable,High,Yes
1004,Stratus,East,83.3,Green,High,Decline,High,No
1003.7,Cirrus,East,75.8,Blue,Low,Decline,High,No
1012.5,Cumulonimbus,West,63.7,Orange,High,Stable,High,Yes
1002.9,Cumulonimbus,West,47.1,Green,Low,Rise,High,No
1012.4,Stratus,South,70.5,Gray,High,Stable,High,Yes
1011.6,Cumulonimbus,South,69.8,Orange,High,Stable,Medium,Yes
1003.1,Cirrus,South,47.9,Green,High,Rise,Medium,No
1011.5,Cumulonimbus,West,52.4,,High,Stable,High,Yes
1003.7,Cirrus,West,81.6,Green,High,Stable,High,No
1003.3,Stratus,East,83.9,,High,Stable,Medium,No
1011.9,Cumulonimbus,East,51.3,Blue,Medium,Decline,High,Yes
1005.7,Cirrus,East,80.8,,Low,Rise,Medium,No
1003.2,Cirrus,South,75.1,Gray,Low,Decline,High,No
1003.4,Cumulonimbus,South,83.5,Green,Medium,Rise,High,No
1013.1,Cumulonimbus,West,73.7,Gray,Low,Rise,High,Yes
1012.7,Cumulonimbus,East,47,Orange,Medium,Decline,Medium,Yes
1011.9,Cumulonimbus,East,71.5,Blue,Low,Decline,Low,Yes
1012.6,Cumulonimbus,West,58.2,Orange,Medium,Stable,Medium,Yes
1006.1,Cirrus,East,40,Green,Low,Stable,Low,No
1011.7,Cirrus,East,68.6,Orange,High,Stable,Low,Yes
1002.3,Cirrus,South,79.4,Blue,High,Stable,High,No
1013.7,Cumulonimbus,West,41.2,Orange,High,Stable,Medium,Yes
1013.6,Stratus,North,52.9,Orange,Low,,Low,Yes
1006.9,Cirrus,West,75.8,Green,High,Rise,High,No
1012.7,Cumulonimbus,East,58.4,Gray,High,Stable,High,Yes
1019.7,Stratus,East,77,Gray,Low,Rise,Low,No
1003.4,Cirrus,South,83.4,,Medium,Stable,High,No
1013.2,Cumulonimbus,East,60.5,Orange,Low,,Low,Yes
1012.8,Cirrus,East,68,Orange,High,Decline,Low,Yes
1011.9,Cumulonimbus,East,69.3,Orange,High,Decline,Low,Yes
1011.3,Stratus,East,44.6,Orange,Medium,Decline,Low,Yes
1004.9,Cirrus,East,82.2,Blue,Medium,Stable,Low,No
1004.3,Cirrus,East,81.9,Green,High,Decline,Low,No
1002.5,Cumulonimbus,West,83.7,Green,High,,Medium,No
1012.6,Stratus,South,58,Orange,Low,Rise,Medium,Yes
1011,Cumulonimbus,South,63.5,Orange,Medium,Stable,Medium,Yes
1013.7,Cumulonimbus,South,43,Orange,High,Rise,High,Yes
1002.1,Cirrus,East,84.5,Green,High,Decline,Low,No
1004.6,Cirrus,South,83.6,Green,Medium,Stable,High,No
1012.6,Cirrus,East,72.3,Orange,Low,Rise,High,Yes
1012.6,Cumulonimbus,,59.3,Orange,Medium,Decline,Low,Yes
1002.4,Cirrus,South,76.3,Green,Low,,High,No
1005.8,Stratus,East,80.9,Green,Medium,Rise,Low,No
1011.7,Cumulonimbus,South,53,Orange,High,Decline,Medium,Yes
1012.5,Stratus,West,64.9,Orange,Medium,Rise,High,Yes
1012.7,Cumulonimbus,East,53.2,Orange,Low,Decline,Low,Yes
1011.8,Cumulonimbus,East,46.5,Blue,Low,,High,Yes
1002.5,Cirrus,West,83.8,Green,Low,Rise,Medium,No
1019.2,Cirrus,South,78.1,Blue,High,Stable,Low,No
1004.5,Cumulonimbus,West,84.3,Green,Low,Stable,Medium,No
1002.1,Cirrus,West,77,Green,High,Decline,Low,No
1013.7,Cirrus,East,62.2,Blue,Low,Rise,Low,Yes
1002.5,Cirrus,East,77.6,Blue,Medium,Decline,Low,No
1012.2,Cirrus,West,59.3,Orange,Medium,Stable,High,Yes
1007,Cirrus,East,44.5,Green,High,Decline,High,No
1012.7,Cumulonimbus,East,64.9,Orange,Low,Decline,High,Yes
1021.5,Cirrus,South,77.1,Green,High,Stable,High,No
1013.4,Cumulonimbus,West,58.7,Orange,Low,Decline,Low,Yes
1004.3,Cumulonimbus,East,84.5,Green,Low,Decline,Low,No
1022.7,Cumulonimbus,West,75.5,Blue,High,Stable,High,No
1002.8,Stratus,East,75.2,Green,High,Decline,Low,No
1003.8,Cumulonimbus,South,83,Green,High,Stable,High,No
1005.6,Stratus,East,77,Green,High,Stable,High,No
1013.6,Cumulonimbus,East,42.1,Orange,Low,Stable,High,Yes
1005.2,Stratus,West,76.8,Gray,Low,Stable,High,No
1006,Cirrus,East,43.2,Green,Medium,Decline,Low,No
1007,Cirrus,South,46.3,Green,High,Stable,Low,No
1003.2,Cirrus,East,77.4,Gray,Low,Decline,Low,No
1018.2,Stratus,East,75.8,Blue,Low,Decline,Low,No
1003.6,Stratus,South,76.1,Gray,Medium,Stable,High,No
1013.4,Cumulonimbus,East,55.5,Gray,High,Decline,Low,Yes
1002.4,Stratus,East,80.2,Blue,High,Decline,Low,No
1011.5,Stratus,East,56,Orange,Low,Decline,Low,Yes
1006.1,Stratus,East,81.6,Gray,Low,Decline,Low,No
1013.5,Cirrus,South,55.4,Orange,High,Stable,High,Yes
1019.4,Cirrus,East,85,Gray,Low,Decline,Medium,No
1005.3,Cirrus,South,82.2,Blue,Low,Stable,High,No
1004.9,Cirrus,East,76.3,Green,Low,Decline,Low,No
1004.7,Cirrus,West,78.9,,High,Stable,Medium,No
1011,Cumulonimbus,,72.8,Orange,High,Decline,Medium,Yes
1012.1,Cumulonimbus,South,48.9,Orange,High,Stable,High,Yes
1004.5,Cirrus,South,76.4,Blue,High,Stable,High,No
1021.1,Cumulonimbus,West,80.1,Green,High,Decline,Low,No
1004.1,Stratus,West,75.3,Green,High,Stable,Low,No
1003.3,Cumulonimbus,East,79.6,Gray,Low,Decline,Low,No
1004.1,Stratus,South,75.9,Gray,High,Decline,High,No
1013.5,Cumulonimbus,East,58.6,Orange,Medium,Rise,Low,Yes
1011.9,Cumulonimbus,South,73.9,Blue,High,Stable,High,Yes
1005.9,Cumulonimbus,East,80.6,Green,High,Decline,Low,No
1002.2,Cumulonimbus,South,78.3,Blue,High,Decline,High,No
1005.6,Cirrus,West,77.8,Blue,High,Stable,Low,No
1002,Cirrus,East,41.6,Green,Low,Decline,Low,No
1012.5,Cumulonimbus,East,47,Orange,Low,Decline,Low,Yes
1013.8,Stratus,North,43.6,Orange,Low,Decline,Low,Yes
1004.6,Stratus,South,79.5,Blue,High,Stable,High,No
1012.9,Cumulonimbus,East,73.5,Orange,Medium,Decline,Low,Yes
1002.9,Cirrus,East,43.8,Gray,Low,Decline,Low,No
1004.1,Cumulonimbus,South,79.2,Green,High,Rise,Medium,No
1013.1,Cumulonimbus,East,59,Orange,Low,Decline,Low,Yes
1012.2,Cumulonimbus,East,72.2,Gray,High,Stable,High,Yes
1013.7,Cumulonimbus,South,58,Orange,High,Stable,High,Yes
1004.7,Cirrus,West,84.2,Green,High,Stable,High,No
1003.2,Cirrus,South,76.4,Blue,High,Stable,Medium,No
1003.2,Cirrus,East,81.9,Blue,Medium,Decline,High,No
1004.7,Cumulonimbus,West,75.1,Green,Low,Decline,Low,No
1013.5,Stratus,East,42.3,Orange,High,Decline,Low,Yes
1003.3,Cumulonimbus,South,83.4,Gray,High,Stable,High,No
1003.2,Cirrus,East,68.7,Gray,Low,Decline,Low,Yes
1005.5,Cumulonimbus,East,61.9,Orange,Low,Decline,Low,Yes
1011.2,Stratus,South,54.4,Orange,Low,Stable,High,Yes
1006.1,Cumulonimbus,,78.4,Green,High,Stable,High,No
1004,Cirrus,North,43,Green,Low,Decline,Low,No
1023.2,Cumulonimbus,East,77.3,Blue,Low,Stable,Low,No
1011.3,Cumulonimbus,South,56.1,Orange,High,Decline,Low,Yes
1003.9,Cirrus,East,81.4,Green,High,Decline,Low,No
1006.3,Cirrus,East,82.7,Green,High,Stable,High,No
1003.4,Cumulonimbus,East,71.5,Orange,High,Decline,Low,Yes
1011.8,Stratus,North,59,Orange,Low,Decline,Low,Yes
1014,Cumulonimbus,East,56.3,Orange,High,Stable,Low,Yes
1005.8,Cirrus,East,42.6,Green,High,Decline,Medium,No
1005.1,Cumulonimbus,East,69.2,Orange,Low,Rise,Low,Yes
1013.2,Cumulonimbus,East,61.8,Orange,Low,Decline,Low,Yes
1013.9,Cumulonimbus,West,53.6,Orange,High,Stable,High,Yes
1002.6,Cirrus,South,83.3,Green,High,Stable,High,No
1002.8,Cirrus,East,77.2,Green,Medium,Decline,Low,No
1013.4,Cumulonimbus,West,57.2,Orange,Medium,Decline,High,Yes
1012.1,Cumulonimbus,East,68.4,Orange,Low,Decline,Low,Yes
1022.7,Stratus,South,78.4,Green,Low,Stable,Medium,No
1005.3,Cirrus,East,82.9,,High,Rise,Medium,No
1002,Cirrus,North,83,Blue,Low,Decline,Low,No
1012.6,Cirrus,East,45.2,Orange,Low,Decline,High,Yes
1012.4,Cumulonimbus,South,71.3,Blue,Low,Stable,High,Yes
1005.9,Cirrus,East,76.6,Gray,Low,Decline,Medium,No
1012.2,Cirrus,West,61.8,Orange,High,Stable,Low,Yes
1005.7,Stratus,East,77.1,Green,Low,Decline,Low,No
1011.4,Cumulonimbus,South,70.7,Orange,High,Stable,High,Yes
1005.8,Stratus,,84.9,Green,High,Stable,High,No
1012.2,Cumulonimbus,North,47.9,Orange,Low,,Low,Yes
1022.8,Cirrus,South,83.2,Gray,High,Stable,High,No
1011.8,Cumulonimbus,West,73.1,Orange,High,Stable,High,Yes
1014,Cirrus,West,55,Orange,Low,Stable,High,Yes
1002.1,Cumulonimbus,East,57.1,Orange,Medium,,High,Yes
1024.6,Cirrus,South,77.9,Green,High,Rise,High,No
1005.1,Cirrus,South,47.1,Green,High,Stable,High,No
1004.3,Cirrus,East,76.3,Gray,Medium,Decline,High,No
1003,Cirrus,East,82.3,Green,High,Stable,Low,No
1006.5,Cirrus,South,47,Green,High,Decline,Low,No
1013.2,Cumulonimbus,East,53.2,Orange,Medium,Stable,Medium,Yes
1006.3,Stratus,East,75.7,Green,High,Decline,Low,No
1007,Cirrus,East,84.8,Green,Medium,Stable,High,No
1012.8,Cumulonimbus,East,65.2,Orange,Low,Decline,Low,Yes
1013.3,Cumulonimbus,West,50,Orange,High,Stable,High,Yes
1002.5,Cumulonimbus,East,73.8,Orange,High,Decline,Low,Yes
1011.5,Cumulonimbus,,53.2,Blue,High,Stable,Low,Yes
1004.8,Cirrus,South,75.5,Gray,High,Stable,High,No
1006.3,Cirrus,South,75.9,Green,Medium,Stable,Low,No
1002.5,Cumulonimbus,North,77.1,Gray,Low,Decline,Medium,No
